Country,AverageTemperature
"Djibouti",29.77148780487805
"Mali",29.343420731707315
"United Arab Emirates",29.129737804878047
"Burkina Faso",28.935993902439023
"Senegal",28.823158536585368
"Aruba",28.668829268292683
"Mauritania",28.60914634146341
"Niger",28.41631097560976
"Gambia",28.367670731707317
"Qatar",28.22759756097561
"Greenland",-16.840560975609755
"Denmark",-16.318353658536587
"Svalbard And Jan Mayen",-5.647646341463414
"Russia",-3.948908536585366
"Canada",-3.518830303030303
"Mongolia",0.628609756097561
"Norway",1.443219512195122
"South Georgia And The South Sandwich Isla",2.1303048780487805
"Iceland",2.5643780487804877
"Finland",2.721012195121951
