year,LandAverageTemperature
1750,8.719363646073775
1751,7.976142840726035
1752,5.7798334658145905
1753,8.388083284099897
1754,8.469333151976267
1755,8.35558334303399
1756,8.849583307902018
1757,9.022000007331371
1758,6.743583341439565
1759,7.985083362708489
1760,7.185166617234548
1761,8.772499978542328
1762,8.606499989827475
1763,7.496750086545944
1764,8.40033327539762
1765,8.251916666825613
1766,8.405666669209799
1767,8.221500058968862
1768,6.781333381930987
1769,7.694583450754483
1770,7.691916743914287
1771,7.853166754047076
1772,8.193500032027563
1773,8.221499981979528
1774,8.772166659434637
1775,9.183083345492681
1776,8.304000039895376
1777,8.256249904632568
1778,8.542250017325083
1779,8.983250041802725
1780,9.432916700839996
1781,8.102583309014639
1782,7.901249883075555
1783,7.680833399295807
1784,7.861999963720639
1785,7.36299999554952
1786,8.258166616161665
1787,8.031833410263062
1788,8.447166740894318
1789,8.334166665871939
1790,7.9823333621025085
1791,8.23425006866455
1792,8.089000061154366
1793,8.229166577259699
1794,8.526000003019968
1795,8.350333412488302
1796,8.270999958117804
1797,8.510583321253458
1798,8.670249998569489
1799,8.505750070015589
1800,8.484250028928122
1801,8.589666644732157
1802,8.578166623910269
1803,8.503000070651373
1804,8.844833383957544
1805,8.562750041484833
1806,8.4340833624204
1807,8.281416664520899
1808,7.626833414038022
1809,7.07641664147377
1810,6.922666649023692
1811,6.859500035643578
1812,7.046249942233165
1813,7.739916602770488
1814,7.591749906539917
1815,7.239333311716716
1816,6.937499995032947
1817,6.975666576375564
1818,7.828916658957799
1819,7.369166702032089
1820,7.616249889135361
1821,8.090083320935568
1822,8.188333382209143
1823,7.718666613101959
1824,8.54716662565867
1825,8.389333367347717
1826,8.356583386659622
1827,8.808750053246817
1828,8.165333360433578
1829,7.941833307345708
1830,8.516749918460846
1831,7.639166712760925
1832,7.450166677435239
1833,8.013000090916952
1834,8.146749923626581
1835,7.392499923706055
1836,7.695833295583725
1837,7.375666658083598
1838,7.514916534225146
1839,7.632249981164932
1840,7.796250075101852
1841,7.688166682918866
1842,8.022749950488409
1843,8.173666695753733
1844,7.6463333169619245
1845,7.8511666258176165
