year,LandAverageTemperatureUncertainty
1750,2.6378181630914863
1751,2.781142864908491
1752,2.9769999980926514
1753,3.1759999891122184
1754,3.494250019391378
1755,3.8503332833449044
1756,3.262333313624064
1757,4.026000003019969
1758,3.3629166881243386
1759,3.6789166728655496
1760,3.0889166494210563
1761,3.144833276669184
1762,3.5242500007152557
1763,3.1515833735466003
1764,2.775250027577082
1765,2.427749971548716
1766,2.8358333309491477
1767,2.962666690349579
1768,2.2660000125567117
1769,2.4100833038489022
1770,2.7806666990121207
1771,2.6045833428700766
1772,2.463833341995875
1773,2.360749969879786
1774,3.415166676044464
1775,2.3205833236376443
1776,2.8641666968663535
1777,2.4428333242734275
1778,2.8724999924500785
1779,2.5058333575725555
1780,2.584833343823751
1781,2.5038333435853324
1782,2.5505833327770233
1783,2.494416683912277
1784,2.2556666334470115
1785,2.239500015974045
1786,2.525416682163874
1787,2.36175000667572
1788,2.5578333338101706
1789,1.8686666587988536
1790,1.7716666758060455
1791,1.7837500025828679
1792,1.700416664282481
1793,2.27441668510437
1794,1.978999987244606
1795,2.0433333218097687
1796,1.9206666499376297
1797,2.045666674772898
1798,1.9033333162466686
1799,1.7384166816870372
1800,1.7186666677395503
1801,1.5816666682561238
1802,1.848999987045924
1803,1.6331666857004166
1804,1.841833343108495
1805,1.688916673262914
1806,1.5700833400090535
1807,1.5922499944766362
1808,1.9968333343664806
1809,2.135416656732559
1810,2.310999979575475
1811,2.0957499841849008
1812,2.135583351055781
1813,1.7088333268960316
1814,2.168500001231829
1815,1.9665000240008037
1816,2.192916661500931
1817,1.7083333432674408
1818,1.8290833085775375
1819,1.5819166700045268
1820,1.6187500109275181
1821,1.375833327571551
1822,1.3752500017484028
1823,1.362249995271365
1824,1.4478333443403244
1825,1.5078333367904027
1826,1.5595833361148834
1827,1.4435833344856899
1828,1.6484166781107585
1829,1.3197500159343083
1830,1.431416670481364
1831,1.5314999918142955
1832,1.5404166529575984
1833,1.2334999938805897
1834,1.1522500067949295
1835,1.2753333499034245
1836,1.1694166610638301
1837,1.290916661421458
1838,1.162333329518636
1839,1.1794166614611943
1840,0.9911666760842005
1841,0.9520000020662943
1842,0.8974999984105428
1843,0.749833325544993
1844,0.9259999990463257
1845,0.8815000007549921
1846,1.0517500042915344
1847,0.9006666665275892
1848,0.8713333358367285
1849,0.9135833233594894
1850,0.8764166682958603
1851,0.8819166570901871
1852,0.9182500094175339
1853,0.8349999984105428
1854,0.8256666759649912
1855,0.8871666789054871
1856,0.7607500006755193
1857,0.7510833293199539
1858,0.6997500111659368
1859,0.6746666630109152
1860,0.6260000045100848
1861,0.6534166609247526
