,City,year,AverageTemperature
1252,Baghdad,1819,20.13125001192093
1253,Baghdad,1820,21.578428488050186
1254,Baghdad,1821,22.829666614108614
1255,Baghdad,1822,20.87154536299272
1256,Baghdad,1823,18.95877776167128
1257,Baghdad,1824,22.956166625976564
1258,Baghdad,1825,22.361666633288067
1259,Baghdad,1826,22.275749921162923
1260,Baghdad,1827,23.152833318074546
1261,Baghdad,1828,22.21266672817866
1262,Baghdad,1829,22.282166772524516
1263,Baghdad,1830,22.61075001970927
1264,Baghdad,1831,21.736666673024498
1265,Baghdad,1832,21.301083210627237
1266,Baghdad,1833,22.131250031789147
1267,Baghdad,1834,21.907000072161356
1268,Baghdad,1835,21.51000003496806
1269,Baghdad,1836,21.940499970753987
1270,Baghdad,1837,21.781750021616617
1271,Baghdad,1838,21.490083136399587
1272,Baghdad,1839,21.71383321348826
1273,Baghdad,1840,21.790916832923887
1274,Baghdad,1841,21.847083292007444
1275,Baghdad,1842,22.37699984804789
1276,Baghdad,1843,22.181499939282734
1277,Baghdad,1844,21.92758335494995
1278,Baghdad,1845,22.036916699727374
1279,Baghdad,1846,22.645083380381266
1280,Baghdad,1847,22.34766656446457
1281,Baghdad,1848,22.106750045458472
1282,Baghdad,1849,22.344583501815794
1283,Baghdad,1850,21.75458334604899
1284,Baghdad,1851,22.747000029246013
1285,Baghdad,1852,22.33624991416931
1286,Baghdad,1853,22.671500023523965
1287,Baghdad,1854,21.96116680240631
1288,Baghdad,1855,22.556166776974994
1289,Baghdad,1856,21.96249984900157
1290,Baghdad,1857,21.518249914805097
1291,Baghdad,1858,22.47875019391378
1292,Baghdad,1859,22.478000082015992
1293,Baghdad,1860,22.616833271662397
1294,Baghdad,1861,21.344583283265433
1295,Baghdad,1862,21.2584167192777
1296,Baghdad,1863,21.587833329200745
1297,Baghdad,1864,22.286166826248166
1298,Baghdad,1865,22.58966659609477
1299,Baghdad,1866,22.18850000349681
1300,Baghdad,1867,22.407166653315226
1301,Baghdad,1868,22.35325013256073
1302,Baghdad,1869,22.72141668923696
1303,Baghdad,1870,22.62983315817515
1304,Baghdad,1871,22.25983325513204
1305,Baghdad,1872,22.641249947547916
1306,Baghdad,1873,22.89116651789347
1307,Baghdad,1874,22.380583349545798
1308,Baghdad,1875,22.072583186467487
1309,Baghdad,1876,22.605416561762492
1310,Baghdad,1877,23.05275001557668
1311,Baghdad,1878,22.92441676330566
1312,Baghdad,1879,23.119250029563904
1313,Baghdad,1880,21.714749827067056
1314,Baghdad,1881,22.7669165503184
1315,Baghdad,1882,21.886249890327452
1316,Baghdad,1883,22.6723334458669
1317,Baghdad,1884,22.036916659990947
1318,Baghdad,1885,22.347083292007444
1319,Baghdad,1886,22.087083415985106
1320,Baghdad,1887,22.533166696548463
1321,Baghdad,1888,23.073666619618734
1322,Baghdad,1889,22.88524984709422
1323,Baghdad,1890,22.065416700045265
1324,Baghdad,1891,22.569583334922793
1325,Baghdad,1892,22.858750131924946
1326,Baghdad,1893,22.424249943733216
1327,Baghdad,1894,21.631249992052716
1328,Baghdad,1895,22.046666723887128
1329,Baghdad,1896,21.667166767756143
1330,Baghdad,1897,21.91624991575877
1331,Baghdad,1898,21.876500104586285
1332,Baghdad,1899,22.696083479245505
1333,Baghdad,1900,22.45633336607615
1334,Baghdad,1901,23.655333426157636
1335,Baghdad,1902,23.214500054677327
1336,Baghdad,1903,22.098666687170663
1337,Baghdad,1904,22.276916684627533
1338,Baghdad,1905,22.078583425998687
1339,Baghdad,1906,22.16316671403249
1340,Baghdad,1907,21.52883336130778
1341,Baghdad,1908,22.260999839782713
1342,Baghdad,1909,23.123166772842406
1343,Baghdad,1910,22.186083086649575
1344,Baghdad,1911,20.984583256244658
1345,Baghdad,1912,22.70133346780141
1346,Baghdad,1913,21.996083415667215
1347,Baghdad,1914,22.16649988683065
1348,Baghdad,1915,22.99766659228007
1349,Baghdad,1916,22.645583560943603
1350,Baghdad,1917,22.932083390553796
1351,Baghdad,1918,22.176250069936117
1352,Baghdad,1919,22.873833335876466
1353,Baghdad,1920,21.510750007788342
1354,Baghdad,1921,22.196999894142152
1355,Baghdad,1922,22.931583408673603
1356,Baghdad,1923,22.57925016784668
1357,Baghdad,1924,22.919250085194907
1358,Baghdad,1925,22.346833221594494
1359,Baghdad,1926,22.504583266576134
1360,Baghdad,1927,22.697500114440917
1361,Baghdad,1928,22.5954999961853
1362,Baghdad,1929,22.79358348242442
1363,Baghdad,1930,22.997416780153912
1364,Baghdad,1931,22.62258316262563
1365,Baghdad,1932,22.366500228563947
1366,Baghdad,1933,21.864583373069763
1367,Baghdad,1934,22.30766676235199
1368,Baghdad,1935,23.282000072161356
1369,Baghdad,1936,22.69050012969971
1370,Baghdad,1937,23.040583332856496
1371,Baghdad,1938,22.54608339182536
1372,Baghdad,1939,22.47383340740204
1373,Baghdad,1940,23.277500036557516
1374,Baghdad,1941,22.89933344491323
1375,Baghdad,1942,23.017916633288067
1376,Baghdad,1943,22.436666617393495
1377,Baghdad,1944,22.95883331521352
1378,Baghdad,1945,22.16074999586741
1379,Baghdad,1946,22.523499863624576
1380,Baghdad,1947,23.63083332061768
1381,Baghdad,1948,22.113916770299273
1382,Baghdad,1949,21.852250049591063
1383,Baghdad,1950,21.933333384990693
1384,Baghdad,1951,23.00958332379659
1385,Baghdad,1952,23.013916539827985
